id, question, answer
1, "Де саме відбудеться захід?", "Захід відбудеться у Київській школі економіки за адресою вулиця Миколи Шпака, 3."
2, "Чи буде онлайн-трансляція?", "Ні, до заходу можна долучитися лише в форматі офлайн."
